molecule_chembl_id,canonical_smiles,standard_value,pIC50
CHEMBL3951258,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C2CCN(C)CC2)CCO1,50.0,7.301029995663981
CHEMBL3951268,COc1cc2c(Nc3ccc(NC(=O)Nc4ccc(C)c(C)c4)cc3)ncnc2cc1OCc1ccccc1,10000.0,5.0
CHEMBL3951403,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(CCC2CCCCC2)CCO1,50.0,7.301029995663981
CHEMBL3951411,COCCN1CCN(c2cc(OC)c(Nc3nccc(-c4c(-c5ccc(OC)c(C(=O)Nc6c(F)cccc6F)c5)nc5ccccn45)n3)cc2C)CC1,1000.0,6.0
CHEMBL3951434,Cc1cccc2nc(NC(=O)c3cccc(C(F)(F)F)c3)n([C@@H]3CCCCN(C(=O)/C=C/CN(C)C)C3)c12,133.02666666666667,6.87606129117338
CHEMBL3951527,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C)CCO1,50.0,7.301029995663981
CHEMBL3951620,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(OCCCCCCC(=O)NO)cc3)cc12)c1ccccc1,100.0,7.0
CHEMBL3951670,COc1cc(N2CCC(N3CCN(CCS(C)(=O)=O)CC3)CC2)c(C)cc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,100.0,7.0
CHEMBL3951754,CCC(=O)Nc1cc2c(Nc3ccc(Oc4cccnc4)cc3)ncnc2cc1OC,531.0,6.274905478918531
CHEMBL3951755,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CN(C)CCO1,50.0,7.301029995663981
CHEMBL3951885,CCOc1ccc(-c2nc3ccccn3c2-c2ccnc(Nc3cc(C)c(N4CCC(CCS(C)(=O)=O)CC4)cc3OC)n2)cc1C(=O)Nc1c(F)cccc1F,1000.0,6.0
CHEMBL3951967,CCOc1cc(N2CCC(N3CCCCC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,100.0,7.0
CHEMBL3952023,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1nc([C@@H]2CCCN2)no1,50.0,7.301029995663981
CHEMBL3952048,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OC1CCCC1,50.0,7.301029995663981
CHEMBL3952157,COc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3o2)cc1,2.7,8.568636235841012
CHEMBL3952188,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1nc(CN2CCCN(C)CC2)cs1,50.0,7.301029995663981
CHEMBL3952208,COc1cc(N2CCC(C3CCN(CCS(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,1000.0,6.0
CHEMBL3952214,CC(C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,19952.62,4.70000006855703
CHEMBL3952315,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C(C)C)CCO1,50.0,7.301029995663981
CHEMBL3952465,COc1cc2c(Nc3cc(F)c(Br)cc3F)ncnc2cc1OCC1CN(C)CCO1,50.0,7.301029995663981
CHEMBL3952493,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1cc(F)cc2c1OCOC2,50.0,7.301029995663981
CHEMBL3952693,CCN1CCCCC1c1nc(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)no1,50.0,7.301029995663981
CHEMBL3952709,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(NC(=O)CCCCCCC(=O)NO)cc3)cc12)c1ccccc1,100.0,7.0
CHEMBL3952805,CCN1CCCCC1c1nc(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)cs1,50.0,7.301029995663981
CHEMBL3952877,COC[C@@H](Nc1ncnc2oc(-c3ccccc3)cc12)c1ccccc1,28.0,7.552841968657781
CHEMBL3952960,COc1cc(N2CCC(N3CCN(CCF)CC3)CC2)ccc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3cc(F)ccn23)n1,1000.0,6.0
CHEMBL3953006,COc1ccn2c(-c3ccnc(Nc4ccc(N5CCC(N6CCN(CCF)CC6)CC5)cc4OC)n3)c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc2c1,100.0,7.0
CHEMBL3953210,COc1ccc(-c2cc3c(N[C@H](C)c4cccc(F)c4)ncnc3o2)cc1,24.0,7.619788758288394
CHEMBL3953221,C=CC(=O)N[C@H]1CCC[C@@H](n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cc(C)ccc32)C1,12117.68,4.916580520404366
CHEMBL3953421,COc1cc(N2CCC(CCS(C)(=O)=O)CC2)c(C)cc1Nc1nccc(-c2c(-c3ccc(OC(C)C)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,1000.0,6.0
CHEMBL3953464,CCOc1cc(N2CCN(CCS(C)(=O)=O)CC2)ccc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,1000.0,6.0
CHEMBL3953593,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCCn4ccnc4)cc3)ncc2[N+](=O)[O-])c1,520.3,6.283746174103964
CHEMBL3953606,CCCCC(CC)C(=O)N1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,50.0,7.301029995663981
CHEMBL3953680,COc1cc(C2CCN(CCS(C)(=O)=O)CC2)ccc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,1000.0,6.0
CHEMBL3953855,Nc1nc(Nc2cccc(F)c2)c2c(n1)-c1ccccc1C2,300000.0,3.5228787452803374
CHEMBL3953871,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)Nc1ccc(C(=O)NO)cc1,100.0,7.0
CHEMBL3953921,C=CC(=O)N1CCCC(n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cc(C)ccc32)C1,12093.14,4.917460919352911
CHEMBL3953937,COc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCC1CN(C)CCO1,50.0,7.301029995663981
